417,17:40:43.2374,-53:41:00.762,17.604 
424,17:40:42.4385,-53:40:59.8512,16.6427 
429,17:40:44.2618,-53:40:59.43,17.4084 
433,17:40:41.7658,-53:40:59.2536,17.9636 
440,17:40:41.1816,-53:40:58.98,18.0181 
447,17:40:42.15,-53:40:58.7532,17.6068 
449,17:40:44.5253,-53:40:58.6452,17.3597 
452,17:40:44.6582,-53:40:58.1304,14.0124 
458,17:40:42.443,-53:40:57.6876,16.5831 
460,17:40:41.6148,-53:40:57.4896,15.4627 
463,17:40:42.2443,-53:40:57.2268,17.9032 
464,17:40:41.1799,-53:40:57.1224,17.1609 
476,17:40:44.2195,-53:40:55.3332,17.3939 
478,17:40:41.4007,-53:40:55.1532,17.512 
479,17:40:42.5179,-53:40:55.0848,17.7435 
489,17:40:40.3553,-53:40:54.3288,13.9462 
491,17:40:43.7983,-53:40:54.2064,17.3063 
493,17:40:44.4631,-53:40:53.8896,17.8001 
495,17:40:41.8315,-53:40:53.7384,17.2698 
497,17:40:41.3918,-53:40:53.6052,17.4327 
501,17:40:41.2366,-53:40:53.1876,17.4602 
513,17:40:45.019,-53:40:52.2084,17.2213 
514,17:40:43.9301,-53:40:52.194,17.3879 
518,17:40:41.1211,-53:40:51.8412,17.2125 
519,17:40:45.384,-53:40:51.8268,17.1881 
520,17:40:40.4498,-53:40:51.7368,26.0655 
521,17:40:45.1315,-53:40:51.5676,17.3872 
522,17:40:43.3846,-53:40:51.5496,23.215 
533,17:40:44.6722,-53:40:50.106,17.7593 
535,17:40:40.5662,-53:40:49.9728,17.1581 
536,17:40:40.7993,-53:40:49.8432,17.6242 
539,17:40:42.7358,-53:40:49.5876,17.2932 
540,17:40:42.2563,-53:40:49.4616,17.9912 
541,17:40:39.8801,-53:40:49.3896,17.25 
542,17:40:43.2406,-53:40:49.278,16.4049 
543,17:40:42.5105,-53:40:49.2276,17.7105 
545,17:40:39.6754,-53:40:49.044,17.1554 
547,17:40:42.1502,-53:40:48.9324,17.4783 
551,17:40:41.0587,-53:40:48.7596,17.2622 
553,17:40:40.0819,-53:40:48.4644,17.8212 
556,17:40:44.5596,-53:40:47.9964,15.2738 
558,17:40:46.0226,-53:40:47.5428,17.3223 
559,17:40:44.4857,-53:40:47.388,17.2479 
561,17:40:42.6034,-53:40:47.298,17.3263 
566,17:40:46.0973,-53:40:46.7868,17.9593 
567,17:40:40.1014,-53:40:46.8372,17.1855 
568,17:40:40.6361,-53:40:46.5456,17.679 
579,17:40:40.0001,-53:40:45.9084,17.4585 
581,17:40:44.7365,-53:40:45.3756,17.2187 
583,17:40:43.8883,-53:40:45.3108,17.7421 
584,17:40:40.6243,-53:40:45.3072,27.3593 
585,17:40:45.2002,-53:40:45.2784,17.446 
586,17:40:42.3478,-53:40:45.2784,17.5235 
587,17:40:42.2983,-53:40:45.2172,17.9815 
590,17:40:43.2874,-53:40:44.9256,17.5039 
594,17:40:41.8426,-53:40:44.7996,17.6637 
595,17:40:45.1373,-53:40:44.7024,17.6232 
596,17:40:41.497,-53:40:44.652,17.8315 
599,17:40:43.6817,-53:40:44.5008,18.0097 
602,17:40:42.649,-53:40:44.1624,17.9293 
605,17:40:41.993,-53:40:43.3452,17.2566 
607,17:40:43.8286,-53:40:43.2192,16.5431 
608,17:40:39.9065,-53:40:43.1076,26.8026 
609,17:40:44.1348,-53:40:43.122,17.2317 
611,17:40:46.237,-53:40:43.0644,17.3273 
612,17:40:43.3279,-53:40:43.0428,17.737 
614,17:40:43.7923,-53:40:42.9276,17.3334 
