id,ra,dec,f606w
0002309,278.932349,-32.991413,20.0767 
0002443,278.932196,-32.991036,20.5996 
0002458,278.931505,-32.990979,19.0243 
0002463,278.93237,-32.990965,16.1362 
0002501,278.931126,-32.990859,19.543 
0002518,278.932195,-32.990834,19.1457 
0002519,278.932096,-32.99084,18.8585 
0002527,278.932485,-32.990822,19.5136 
0002584,278.931905,-32.990651,18.5832 
0002596,278.932701,-32.990613,18.6509 
0002604,278.932401,-32.990593,18.7591 
0002613,278.931607,-32.990565,20.131 
0002631,278.931291,-32.990512,19.7038 
0002652,278.932503,-32.990461,20.064 
0002717,278.931995,-32.990296,15.6282 
0002751,278.931716,-32.990212,19.0348 
0002812,278.932341,-32.990014,19.4177 
0002813,278.931739,-32.990014,17.4638 
0002818,278.932118,-32.989997,19.0956 
0016490,278.931301,-32.99076,20.723 
0016501,278.931479,-32.990398,22.1597 
0016504,278.931316,-32.990935,23.2284 
0016506,278.931245,-32.991017,24.2999 
0016529,278.932822,-32.990275,21.3173 
0016530,278.932766,-32.991045,20.2202 
0016533,278.932288,-32.990749,20.9699 
0016534,278.932151,-32.990982,21.5069 
0016535,278.932013,-32.991044,21.9636 
0016536,278.931884,-32.991427,21.776 
0016537,278.931869,-32.991158,20.9635 
0016538,278.93187,-32.99083,20.2941 
0016539,278.931859,-32.991335,20.6404 
0016540,278.931856,-32.99018,20.2708 
0016541,278.931728,-32.99106,22.4876 
0016542,278.931573,-32.990485,22.6165 
0016543,278.931549,-32.990258,20.3081 
0016544,278.931539,-32.991399,28.5551 
0016546,278.932813,-32.9908,22.6125 
0016548,278.932602,-32.991031,22.4339 
0016549,278.932513,-32.990775,23.6707 
0016550,278.932275,-32.991404,23.8039 
0016551,278.932233,-32.990712,23.6881 
0016552,278.931927,-32.991366,23.1415 
0016553,278.931922,-32.991158,22.6873 
0016554,278.93175,-32.990825,26.0911 
0016555,278.931601,-32.991243,25.2472 
0016557,278.932901,-32.990502,20.6676 
0016558,278.932633,-32.990349,25.4129 
0016559,278.932194,-32.990933,24.9559 
0017676,278.932304,-32.989944,22.0244 
0017682,278.931523,-32.989846,20.2858 
